ParticipantID,V6,V8,V9,V10,Consent,ConditionACTIVE1PASSIVE2,ingVH_I1,ingVH_C1,ingVH_I2,ingVH_C2,ingVS_I1,ingVS_C1,ingVS_I2,ingVS_C2,ingPH_I1,ingPH_C1,ingPH_I2,ingPH_C2,ingPS_I1,ingPS_C1,ingPS_I2,ingPS_C2,edVH_I1,edVH_C1,edVH_I2,edVH_C2,edVS_I1,edVS_C1,edVS_I2,edVS_C2,edPH_I1,edPH_C1,edPH_I2,edPH_C2,edPS_I1,edPS_C1,edPS_I2,edPS_C2,EDU,EDUOTHER,ENGNATIVE,ENGYEARS,POL,REL,AGE_1_TEXT,ETHNIC,GENDER,COMMENTS,H_I_V,H_C_V,S_I_V,S_C_V,H_I_P,H_C_P,S_I_P,S_C_P,INJ_V,INJ_P,CON_P,CON_V,CON,INJ
R_3ly1X5Ahg4szUZq,76.18.41.79,7/1/2016 16:46:09,7/1/2016 16:47:53,1,1,1,0,0,2,0,1,0,2,0,6,6,6,6,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,5,1,25,White,2, ,1,0,1.5,0,6,6,7,7,1.25,6.5,6.5,0,3.25,3.875
R_2uWjnPSCOISmdHq,50.30.114.40,7/1/2016 15:33:26,7/1/2016 15:36:59,1,1,1,1,1,5,5,7,7,6,6,3,4,6,4,7,7,7,7, , , , , , , , , , , , , , , , ,2, ,1, ,1,7,52,caucassion,2, ,3,3,6.5,6.5,4.5,4,7,7,4.75,5.75,5.5,4.75,5.125,5.25
R_3p6jQsVDf0GxGbB,71.92.195.184,7/1/2016 20:21:14,7/1/2016 20:23:01,1,1,1,7,2,7,2,7,3,7,3,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,2,12,7,3,25,Korean,2,NA,7,2,7,3,7,7,7,7,7,7,7,2.5,4.75,7
R_6LijxuZ5MvffCrn,162.2.91.139,7/1/2016 18:00:55,7/1/2016 18:02:54,1,1,1,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,6,1,60,white,2,NO,0,0,0,0,7,7,7,7,0,7,7,0,3.5,3.5
R_3flagwaVmA5mggV,66.87.114.163,7/1/2016 15:11:43,7/1/2016 15:14:21,1,1,1,0,0,0,0,0,0,0,0,6,5,7,5,7,7,7,7, , , , , , , , , , , , , , , , ,3, ,1, ,4,5,34,white,2, ,0,0,0,0,6.5,5,7,7,0,6.75,6,0,3,3.375
R_2bT6x2sCBGVGjgt,73.34.24.178,7/1/2016 15:34:12,7/1/2016 15:35:58,1,1,2, , , , , , , , , , , , , , , , ,6,0,3,0,7,4,7,5,0,0,0,0,0,0, , ,3, ,1, ,5,1,35,white,2,"Thank you, have a great 4th of July!",4.5,0,7,4.5,0,0,0,0,5.75,0,0,2.25,1.125,2.875
R_3NIoWR3UCvxGrcf,99.122.29.61,7/1/2016 14:54:28,7/1/2016 15:00:15,1,1,2, , , , , , , , , , , , , , , , ,7,2,4,0,5,7,7,7,0,0, , ,0,4,1,5,3, ,1, ,5,5,57,White American,2,None,5.5,1,6,7,0,0,.5,4.5,5.75,.25,2.25,4,3.125,3
R_2D0RD6kDiL6Xpa1,63.143.195.143,7/1/2016 15:47:03,7/1/2016 15:51:30,1,1,2, , , , , , , , , , , , , , , , ,5,0,5,4,7,7,7,7,1,0, , ,0,0,0,0,4, ,1, ,7,1,24,Black,2, ,5,2,7,7,1,0,0,0,6,.5,0,4.5,2.25,3.25
R_SAJ97FrH8Gu38pr,173.19.165.251,7/1/2016 18:47:57,7/1/2016 18:49:19,1,1,2, , , , , , , , , , , , , , , , ,7,4,6,2,5,6,6,7,0,7,0,5,0,6, , ,4, ,1, ,2,1,28,Caucasian,1, ,6.5,3,5.5,6.5,0,6,0,6,6,0,6,4.75,5.375,3
R_1DG5cH94ZRnbHek,66.35.113.122,7/1/2016 15:13:25,7/1/2016 15:15:23,1,1,2, , , , , , , , , , , , , , , , ,7,6,7,6,6,6,6,6,1,3,2,3, , ,2,2,5, ,1, ,4,1,38,White,2, ,7,6,6,6,1.5,3,2,2,6.5,1.75,2.5,6,4.25,4.125
R_UXYi43RFf3MhSJX,198.209.9.250,7/1/2016 18:16:16,7/1/2016 18:18:23,1,1,2, , , , , , , , , , , , , , , , ,4,3,5,5,7,7,7,7,5,5,4,5,6,7, , ,3, ,1, ,7,1,21,White,1, ,4.5,4,7,7,4.5,5,6,7,5.75,5.25,6,5.5,5.75,5.5
